Image_Name,Mean_Intensity,Std_Intensity,Sobel_Magnitude,Hu_1,Hu_2,Hu_3,Hu_4,Hu_5,Hu_6,Hu_7,Hist_Bin_1,Hist_Bin_2,Hist_Bin_3,Hist_Bin_4,Hist_Bin_5,Hist_Bin_6,Hist_Bin_7,Hist_Bin_8,Hist_Bin_9,Hist_Bin_10,lable
fall-11-cam0-rgb_MHI.png,25.7377181,55.43789371,299.5683086,0.001852823,1.03E-06,1.94E-10,2.84E-11,-2.75E-22,2.80E-14,2.09E-21,248071,1375,5595,12022,6137,12647,11934,8160,831,428,1
fall-12-cam0-rgb_MHI.png,7.359511719,27.41285237,112.835055,0.003458025,4.24E-06,2.34E-08,7.73E-09,1.01E-16,1.35E-11,2.31E-17,282716,6779,3367,6873,2768,1929,1386,978,125,279,1
fall-13-cam0-rgb_MHI.png,18.3407194,52.31447279,173.0307199,0.001495064,7.15E-07,1.14E-09,1.31E-10,6.17E-21,-2.57E-14,5.03E-20,269208,2322,2696,2639,4354,7178,9032,4290,2511,2970,1
fall-14-cam0-rgb_MHI.png,13.35217122,37.78663538,173.4170795,0.002460651,1.80E-06,4.40E-10,1.92E-09,8.97E-19,2.51E-12,1.52E-18,266746,7143,8525,9852,7417,2791,1717,1156,1070,783,1
fall-15-cam0-rgb_MHI.png,14.25382813,44.38549119,141.9791035,0.001522312,6.60E-07,1.14E-09,1.05E-10,-3.18E-20,-7.92E-14,1.71E-20,274390,2521,2192,4781,5360,9705,2589,2142,1327,2193,1
fall-16-cam0-rgb_MHI.png,19.00497396,51.22741437,188.5424811,0.001368941,2.16E-07,4.08E-10,4.79E-11,1.73E-21,1.83E-14,6.46E-21,264500,3280,4086,3678,7295,7997,7489,3864,3598,1413,1
fall-17-cam0-rgb_MHI.png,14.85276367,48.16633092,123.8034041,0.001513842,9.54E-07,8.82E-10,1.72E-10,6.72E-20,1.68E-13,1.86E-21,277987,823,1404,1938,3181,5516,7149,4314,3463,1425,1
fall-18-cam0-rgb_MHI.png,10.83536133,31.44711334,133.2010846,0.002856739,2.25E-06,5.93E-09,9.58E-10,1.68E-18,1.40E-12,-1.55E-18,267315,10796,11796,7889,4633,1987,671,782,773,558,1
fall-19-cam0-rgb_MHI.png,2.136715495,14.01847009,55.70208434,0.005269871,6.18E-06,1.61E-08,2.62E-09,1.67E-17,2.07E-12,3.32E-18,299220,3761,2002,551,640,406,276,92,19,233,1
fall-20-cam0-rgb_MHI.png,4.744967448,28.51984913,101.2752235,0.003313348,9.31E-07,5.85E-08,3.02E-08,1.21E-15,1.78E-11,3.71E-16,297296,207,1494,2021,833,702,511,1110,1816,1210,1
fall-21-cam0-rgb_MHI.png,15.44346354,49.3811616,131.8694145,0.001341913,4.84E-07,1.18E-09,2.05E-10,1.01E-19,1.40E-13,3.20E-21,276603,1692,2194,1435,2256,5390,9107,3707,2458,2358,1
fall-22-cam0-rgb_MHI.png,6.001057943,26.51282332,137.9653134,0.004486349,1.24E-05,6.80E-09,7.36E-10,1.44E-18,1.41E-12,7.91E-19,289200,4771,3249,3712,2715,1187,215,460,729,962,1
fall-23-cam0-rgb_MHI.png,8.779599609,31.9951791,121.0653278,0.001850951,6.13E-07,2.77E-09,5.19E-10,5.87E-19,3.36E-13,2.06E-19,282017,3253,4796,4277,4879,3150,3630,740,299,159,1
fall-24-cam0-rgb_MHI.png,6.089046224,24.78979789,133.6273192,0.004135377,7.79E-06,6.24E-09,1.71E-09,5.15E-18,4.46E-12,-2.19E-18,285290,8075,5341,2545,2734,1480,608,224,212,691,1
fall-25-cam0-rgb_MHI.png,18.16733073,53.32636496,89.22710372,0.001124437,2.40E-07,4.73E-10,1.06E-10,2.38E-20,5.04E-14,1.13E-21,272138,394,1117,2620,6667,6501,5466,5054,3567,3676,1
fall-26-cam0-rgb_MHI.png,11.77767253,36.19087511,111.0988534,0.002051286,1.21E-06,6.04E-10,3.85E-10,-8.73E-20,3.84E-13,-1.64E-19,271402,9442,7194,7693,3682,1299,1625,3773,617,473,1
fall-27-cam0-rgb_MHI.png,21.49940755,58.0103636,83.452111,0.001153487,2.95E-07,6.33E-10,1.47E-10,4.46E-20,7.72E-14,2.77E-21,266494,1111,1909,2425,4092,6260,8735,8514,2536,5124,1
fall-28-cam0-rgb_MHI.png,23.52027344,55.88867882,141.3206271,0.001347451,5.13E-07,1.30E-10,3.31E-11,6.73E-22,1.73E-14,-2.07E-21,253021,4493,5243,7823,8723,8665,8102,5430,1448,4252,1
fall-29-cam0-rgb_MHI.png,15.82060547,46.26705294,82.6553784,0.001345762,3.13E-07,9.49E-10,2.39E-10,1.12E-19,1.01E-13,2.40E-20,270988,3035,2109,3016,5959,10822,4639,3848,1930,854,1
fall-30-cam0-rgb_MHI.png,18.05015299,45.40392265,115.7545257,0.001573915,5.58E-07,2.07E-10,9.18E-11,1.00E-20,4.42E-14,-7.73E-21,258378,4716,6851,11321,7655,11351,1037,3057,1623,1211,1
adl-01-cam0-rgb_MHI.png,18.41543945,46.13185958,177.7240922,0.001592727,9.03E-08,5.64E-10,2.59E-10,-2.19E-20,-7.37E-14,-9.62E-20,257149,5200,9471,8915,6731,8014,8383,1608,256,1473,0
adl-02-cam0-rgb_MHI.png,14.37664714,43.48206241,199.4034889,0.002071082,1.03E-06,5.14E-10,2.37E-10,-4.93E-20,2.39E-13,6.66E-20,270011,3855,5010,6921,10204,5072,632,657,490,4348,0
adl-03-cam0-rgb_MHI.png,19.05063477,63.61576163,186.0774631,0.00157571,1.94E-09,2.62E-09,1.01E-09,1.55E-18,2.11E-15,5.63E-19,280032,2885,520,266,101,70,73,684,5573,16996,0
adl-04-cam0-rgb_MHI.png,23.41112956,66.3962463,245.4956804,0.001191543,2.64E-07,9.82E-11,1.27E-10,1.30E-21,4.25E-14,1.42E-20,271410,405,219,353,1176,3746,6632,5730,3521,14008,0
adl-05-cam0-rgb_MHI.png,29.71766276,71.72309118,370.6099184,0.001273878,4.92E-07,7.19E-11,1.16E-10,8.72E-21,6.93E-14,-6.10E-21,259036,822,667,321,4999,7288,9092,5092,2899,16984,0
adl-06-cam0-rgb_MHI.png,34.08983073,76.96611405,298.9502288,0.001263772,7.39E-08,1.76E-10,1.54E-10,-1.99E-20,-5.50E-15,1.57E-20,244745,16607,4748,802,1209,201,451,4783,11578,22076,0
adl-07-cam0-rgb_MHI.png,6.65383138,27.8937338,163.7648181,0.004768354,4.73E-07,1.37E-07,7.63E-08,7.28E-15,3.75E-11,-2.79E-15,287196,4106,4105,3324,3991,1968,858,300,421,931,0
adl-08-cam0-rgb_MHI.png,9.340791016,33.41611579,164.0715215,0.002989949,4.09E-07,1.57E-08,8.76E-09,8.29E-17,-2.92E-12,-6.05E-17,280115,5294,5656,3879,3600,3018,2272,2413,463,490,0
adl-09-cam0-rgb_MHI.png,33.6065625,71.96043327,334.6411457,0.001300654,2.95E-07,4.50E-10,1.80E-10,-4.53E-20,-5.18E-14,2.42E-20,241890,4019,8899,6170,4675,5427,7267,6969,7804,14080,0
adl-10-cam0-rgb_MHI.png,16.83024414,42.56986722,197.1274789,0.002093566,1.50E-07,1.20E-09,5.33E-09,1.33E-17,-2.06E-12,2.42E-18,260944,1519,8346,10693,11702,8917,1783,961,1978,357,0
adl-11-cam0-rgb_MHI.png,14.21212891,38.27675579,214.8715112,0.002625993,6.11E-08,1.76E-09,1.57E-08,6.87E-17,-2.73E-12,-4.63E-17,264502,3369,10394,14473,2764,6921,1693,1432,1347,305,0
adl-12-cam0-rgb_MHI.png,20.34766602,59.65767648,250.291767,0.001104234,2.51E-07,2.99E-11,5.09E-11,6.56E-22,2.42E-14,1.87E-21,272413,1332,1591,1835,974,236,6825,11308,5439,5247,0
adl-13-cam0-rgb_MHI.png,21.72824544,64.34720937,291.9407254,0.001242184,4.59E-07,2.93E-10,1.15E-10,1.94E-20,6.42E-14,8.10E-21,273712,1229,800,1621,682,49,1391,7325,11220,9171,0
adl-14-cam0-rgb_MHI.png,23.88851888,65.3491064,350.4941063,0.00122626,3.64E-07,2.78E-10,1.85E-10,4.03E-20,9.93E-14,1.19E-20,268994,56,218,1937,3002,1085,5805,9344,7711,9048,0
adl-15-cam0-rgb_MHI.png,15.81315755,55.08595514,229.9063319,0.001264337,2.59E-07,5.07E-10,1.11E-10,-2.18E-21,5.33E-14,2.62E-20,280306,3436,1545,692,66,68,1461,5869,7996,5761,0
adl-16-cam0-rgb_MHI.png,21.19415039,62.82427116,249.5167987,0.000972798,4.70E-08,1.27E-10,4.34E-11,1.52E-21,-2.65E-15,2.84E-21,269498,7620,3336,795,290,14,553,2953,10622,11519,0
adl-17-cam0-rgb_MHI.png,20.95779948,60.50389297,364.1589524,0.001339141,2.57E-07,6.02E-12,1.50E-10,-1.67E-21,7.13E-14,-4.17E-21,268367,3257,4080,3538,1902,301,3026,7431,8222,7076,0
adl-18-cam0-rgb_MHI.png,11.25130859,31.49865141,115.882022,0.002002202,1.39E-07,7.49E-10,2.90E-10,1.35E-19,7.28E-14,-9.69E-21,267762,7024,9073,11639,5625,5239,520,133,171,14,0
adl-19-cam0-rgb_MHI.png,2.840553385,18.27278561,70.62920339,0.007300724,1.14E-05,3.85E-08,2.55E-07,1.80E-14,6.25E-10,1.78E-14,299503,321,870,2464,1809,975,933,265,24,36,0
adl-20-cam0-rgb_MHI.png,12.59388997,34.99853243,136.4646976,0.001990486,5.23E-07,1.14E-09,4.53E-10,3.21E-19,1.52E-13,5.95E-20,268015,5872,6831,12041,4617,6909,1789,978,95,53,0
adl-21-cam0-rgb_MHI.png,5.812613932,23.98350074,96.79680104,0.003661945,9.08E-07,2.54E-08,4.58E-09,4.87E-17,2.90E-12,-8.18E-18,286811,7823,2537,3372,2292,2635,1087,404,226,13,0
adl-22-cam0-rgb_MHI.png,2.85250651,15.81253758,59.80650667,0.008002063,2.62E-05,1.25E-07,2.08E-08,1.00E-15,7.15E-11,3.51E-16,297003,2417,3210,2540,645,868,393,58,9,57,0
adl-23-cam0-rgb_MHI.png,1.467236328,10.27446367,39.40592075,0.015469938,0.000123485,1.75E-06,6.90E-07,7.55E-13,7.41E-09,7.70E-14,300231,3956,1880,352,210,369,121,65,8,8,0
adl-24-cam0-rgb_MHI.png,10.84357096,44.70168,189.6228446,0.001691107,1.44E-06,5.97E-11,5.40E-11,2.61E-21,5.22E-14,-1.61E-21,287690,856,1436,1053,2220,2467,2283,1472,1773,5950,0
adl-25-cam0-rgb_MHI.png,0.400442708,7.185702479,23.10590335,0.015929918,0.000118732,2.22E-06,3.54E-07,-2.76E-13,-2.86E-09,1.50E-13,305915,386,343,231,97,65,18,3,1,141,0
adl-26-cam0-rgb_MHI.png,13.99889323,48.33687046,166.0114115,0.001863551,1.93E-06,2.87E-10,5.04E-10,1.91E-19,6.99E-13,9.46E-21,281616,129,463,1372,3464,4436,5069,5073,2485,3093,0
adl-27-cam0-rgb_MHI.png,1.461015625,11.85049076,37.68467895,0.003724914,9.70E-07,1.13E-08,3.90E-09,1.07E-17,6.64E-13,-2.36E-17,302256,1478,789,1286,550,575,138,101,21,6,0
adl-28-cam0-rgb_MHI.png,8.91078125,44.06684238,118.1698247,0.001293754,6.12E-07,4.01E-10,4.05E-10,1.63E-19,3.16E-13,-6.25E-21,294881,19,84,188,11,15,352,2263,3771,5616,0
adl-29-cam0-rgb_MHI.png,0.742200521,9.104843125,30.75690301,0.006231242,1.53E-06,4.10E-07,3.50E-07,8.79E-14,3.06E-10,-9.96E-14,304355,1354,544,332,287,91,50,4,35,148,0
adl-30-cam0-rgb_MHI.png,2.497496745,17.02135837,60.80428264,0.003955098,6.75E-07,2.95E-08,9.70E-08,3.29E-15,7.56E-11,-4.01E-15,298399,2389,2468,2855,303,11,6,8,8,753,0
adl-31-cam0-rgb_MHI.png,15.14312174,56.92089169,103.3785563,0.000833566,5.21E-08,1.36E-10,2.30E-11,8.01E-23,7.63E-16,1.28E-21,286128,36,58,545,186,1982,530,1226,3940,12569,0
adl-32-cam0-rgb_MHI.png,10.97578451,48.11888282,96.42855183,0.000960797,2.81E-08,3.82E-10,8.63E-12,2.98E-22,1.72E-17,3.96E-22,291008,478,309,360,963,178,963,2610,1769,8562,0
adl-33-cam0-rgb_MHI.png,13.18775065,52.16396894,127.0158564,0.000957247,3.20E-08,1.29E-10,1.38E-11,-5.62E-22,-1.41E-15,1.57E-22,287861,581,337,61,60,1488,2077,2172,3477,9086,0
adl-34-cam0-rgb_MHI.png,6.953522135,36.1310828,106.5393808,0.001393309,1.78E-07,6.31E-10,1.60E-09,1.15E-18,-4.59E-13,1.11E-18,295299,823,291,129,59,1196,3275,1975,2273,1880,0
adl-35-cam0-rgb_MHI.png,23.46266602,67.61220063,175.9300863,0.001092021,5.53E-07,6.12E-11,5.14E-11,2.85E-21,3.23E-14,-4.67E-22,271875,502,1748,1386,495,2367,3557,1916,5697,17657,0
adl-36-cam0-rgb_MHI.png,9.414082031,30.93873116,106.2911914,0.002992784,2.44E-06,1.00E-08,4.12E-09,-2.67E-18,-1.97E-13,2.63E-17,274259,10997,5905,8700,4475,416,6,5,87,2350,0
adl-37-cam0-rgb_MHI.png,14.16595052,36.68363009,127.739652,0.002619905,2.53E-06,9.48E-10,1.75E-09,1.44E-18,1.98E-12,1.73E-18,264810,8281,6957,4212,10126,11673,1039,36,28,38,0
adl-38-cam0-rgb_MHI.png,0.787815755,10.86142984,47.9379617,0.031130586,3.45E-05,3.38E-05,1.79E-05,4.09E-10,1.03E-07,1.64E-10,304611,926,924,233,7,4,5,6,13,471,0
adl-39-cam0-rgb_MHI.png,3.296627604,20.61544176,107.275644,0.005734686,2.48E-06,1.13E-07,3.48E-08,2.17E-15,-2.88E-12,2.33E-16,296803,4241,1248,1322,1461,298,13,234,1169,411,0
adl-40-cam0-rgb_MHI.png,2.916523438,15.95120013,101.6610068,0.008897338,2.55E-05,2.58E-07,8.30E-08,1.17E-14,3.96E-10,3.24E-15,294101,6262,4256,557,296,1033,443,94,20,138,0
